trial;originalIndividualAvgTime;originalIndividualLOC;originalIndividualCharacters;bestIndividualAvgTime;bestIndividualLOC;bestIndividualCharacters;time;better
0;38275;1092;38275;38203;1092;38203;7068.346;true; 
1;38275;1092;38275;37565;1087;37565;9326.192;true; 
2;38275;1092;38275;36681;1065;36681;9445.712;true; 
3;38275;1092;38275;37493;1084;37493;8983.077;true; 
4;38275;1092;38275;35671;1029;35671;8909.487;true; 
5;38275;1092;38275;36630;1063;36630;8776.82;true; 
6;38275;1092;38275;36638;1064;36638;8897.479;true; 
7;38275;1092;38275;36742;1066;36742;8931.509;true; 
8;38275;1092;38275;37543;1085;37543;9085.271;true; 
9;38275;1092;38275;37493;1084;37493;8785.198;true; 
